Initial query,ONS Response title,NLP response title,Score,Legend
Labour productivity for UK,"Labour productivity for UK countries and regions, quarterly","Health, demographic and labour market influences on economic inactivity, UK: 2019 to 2022",1,1=NLP made it worse
Unemployment in Leeds,VACS01: Vacancies and unemployment,VACS01: Vacancies and unemployment,0,2=NLP made it better
Unemployment in Manchester ,VACS01: Vacancies and unemployment,VACS01: Vacancies and unemployment,0,0=no change
Economic activity in London,"Economic activity of parents in London and the UK, 2012 to 2015",Households by the combined economic activity status of household members by area ,1,
Economic activity in Bristol,"Economic activity status, England and Wales","UK business; activity, size and location",maybe?,
co2 emissions in London,"GDP, London","Greenhouse gas emissions, UK",2,
Crime rates in Merseyside,Crime in England and Wales,Crime in England and Wales,0,
Domestic violence rates,Nature of crime: violence,Nature of crime: violence,0,
Unemployment rates by gender,"Gender identity, England and Wales","Gender identity, England and Wales",0,
Inflation rates from 1990 to 2021,CPI-consistent inflation rate estimates for UK household groups,Early indicator estimates from the Wealth and Assets Survey,1,
UK population covid-19 impacts,COVID-19 antibody and swab positivity by population characteristics in the UK,COVID-19 antibody and swab positivity by population characteristics in the UK,0,
Covid-19 death rates by demographic age,"Coronavirus (COVID-19) case rates by socio-demographic characteristics, England","Coronavirus (COVID-19) case rates by socio-demographic characteristics, England",0,
Labour market statistics,Regional labour market statistics in the UK,X02 Regional labour market: estimates of unemployment by age,1,
UK birth rate,Population of the UK by country of birth and nationality,Population of the UK by country of birth and nationality,0,
Migration trends,Impact of different migration trend lengths,Impact of different migration trend lengths,0,
Cultural identity change over time,Social capital headline indicators,Social capital headline indicators,0,
"Case study; query searches 'cultural identity' as it is a topic under 'People, populations and community'","GDP monthly estimate, UK: December 2024 time series","GDP monthly estimate, UK: December 2024 time series",0,
Sense of identity ,"Gender identity, England and Wales","Gender identity, England and Wales",0,
Domestic labour breakdown,Labour cost by International Territorial Level 2 breakdown of the UK,Labour cost by International Territorial Level 2 breakdown of the UK,0,
Household characteristics,Household Characteristics of Quintile Groups of ALL Households,Household Characteristics of Quintile Groups of ALL Households,0,
Mental health reported in UK,More children using social media report mental ill-health symptoms,More than one in four sandwich carers report symptoms of mental ill-health,not sure,
Suicide statistics for England and Wales,"Electoral Statistics for England, Wales and Northern Ireland","Suicide occurrences, England and Wales",2,
Household income,Regional gross disposable household income (GDHI),Regional gross disposable household income (GDHI),0,
Marital rate for UK,"Population estimates by marital status and living arrangements, England and Wales",Previous marital status,1,
Marriages ,Marriages in England and Wales,Marriages in England and Wales,0,
Access to internet in UK,Internet Access Quarterly Update,Internet Access Quarterly Update,0,
GHG emissions by sector,"Greenhouse gas emissions, UK","Greenhouse gas emissions, UK",0,
Percentage in UK testing positive for Covid-19,"Coronavirus (COVID-19) Infection Survey, characteristics of people testing positive for COVID-19, UK","Coronavirus (COVID-19) Infection Survey, characteristics of people testing positive for COVID-19, UK",0,
Personal well-being data,Personal well-being in the UK,Personal well-being in the UK,0,
Asylum seekers,Measuring illegal migration: our current view,Measuring illegal migration: our current view,0,
Pregnancy stats,Pregnancy and ethnic factors influencing births and infant mortality,Pregnancy and ethnic factors influencing births and infant mortality,0,
Poverty indicators,"Estimating the number of people with cardiovascular or respiratory conditions living in poverty, England","Estimating the number of people with cardiovascular or respiratory conditions living in poverty, England",0,
Deprivation by soa,Health state life expectancies by Index of Multiple Deprivation (IMD),Health state life expectancies by Index of Multiple Deprivation (IMD),0,
SDG indicators data,"Sustainable Development Goals geographic data coverage, by global goal",G20 - data gaps initiative (DGI) requirement II.7 securities data tables,1,
Sexual assault statistics ,"Nature of sexual assault by rape or penetration, England and Wales","Nature of sexual assault by rape or penetration, England and Wales",0,
