Initial query,ONS Response title,NLP response title,Score
Labour productivity,"Labour productivity, UK","Labour productivity, UK",0
Unemployment,VACS01: Vacancies and unemployment,VACS01: Vacancies and unemployment,0
Economic activity,"Economic activity status, England and Wales","Economic activity status, England and Wales",0
co2 emissions,"Median estimated carbon dioxide (CO2) emissions, England and Wales","Median estimated carbon dioxide (CO2) emissions, England and Wales",0
Crime rates,"Incidents of neighbourhood crime for the 20% of LSOAs with the highest police recorded neighbourhood crime rates, England and Wales, years ending June 2019 to June 2023","Incidents of neighbourhood crime for the 20% of LSOAs with the highest police recorded neighbourhood crime rates, England and Wales, years ending June 2019 to June 2023",0
Domestic violence rates,Nature of crime: violence,Nature of crime: violence,0
Unemployment rates by gender,"Gender identity, England and Wales","Gender identity, England and Wales",0
Inflation rates,CPI-consistent inflation rate estimates for UK household groups,CPI-consistent inflation rate estimates for UK household groups,0
UK population covid-19 impacts,COVID-19 antibody and swab positivity by population characteristics in the UK,COVID-19 antibody and swab positivity by population characteristics in the UK,0
Covid-19 death rates by demographic age,"Coronavirus (COVID-19) case rates by socio-demographic characteristics, England","Coronavirus (COVID-19) case rates by socio-demographic characteristics, England",0
Labour market statistics,Regional labour market statistics in the UK,Regional labour market statistics in the UK,0
UK birth rate,Population of the UK by country of birth and nationality,Population of the UK by country of birth and nationality,0
Migration trends,Impact of different migration trend lengths,Impact of different migration trend lengths,0
Cultural identity change over time,Social capital headline indicators,Social capital headline indicators,0
Sense of identity ,"Gender identity, England and Wales","Gender identity, England and Wales",0
Domestic labour breakdown,Labour cost by International Territorial Level 2 breakdown of the UK,Labour cost by International Territorial Level 2 breakdown of the UK,0
Household characteristics,Household Characteristics of Quintile Groups of ALL Households,Household Characteristics of Quintile Groups of ALL Households,0
Mental health reported,More children using social media report mental ill-health symptoms,More than one in four sandwich carers report symptoms of mental ill-health,change
Suicide statistics  and ,Quarterly suicide death registrations in England,Quarterly suicide death registrations in England,0
Household income,Regional gross disposable household income (GDHI),Regional gross disposable household income (GDHI),0
Marital rate,"Population estimates by marital status and living arrangements, England and Wales",Previous marital status,change
Marriages ,Marriages in England and Wales,Marriages in England and Wales,0
GHG emissions by sector,"Greenhouse gas emissions, UK","Greenhouse gas emissions, UK",0
Percentagetesting positive Covid-19,"Coronavirus (COVID-19) Infection Survey, characteristics of people testing positive for COVID-19, England","Coronavirus (COVID-19) Infection Survey, characteristics of people testing positive for COVID-19, England",0
Personal well-being data,Personal well-being in the UK,Personal well-being in the UK,0
Asylum seekers,Measuring illegal migration: our current view,Measuring illegal migration: our current view,0
Pregnancy stats,Pregnancy and ethnic factors influencing births and infant mortality,Pregnancy and ethnic factors influencing births and infant mortality,0
Poverty indicators,"Estimating the number of people with cardiovascular or respiratory conditions living in poverty, England","Estimating the number of people with cardiovascular or respiratory conditions living in poverty, England",0
Deprivation by soa,Health state life expectancies by Index of Multiple Deprivation (IMD),Health state life expectancies by Index of Multiple Deprivation (IMD),0
SDG indicators data,"Sustainable Development Goals geographic data coverage, by global goal",UK health indicators,change
Sexual assault statistics ,"Nature of sexual assault by rape or penetration, England and Wales","Nature of sexual assault by rape or penetration, England and Wales",0
Hate crimes ,CSEW number of hate crime incidents in England,CSEW number of hate crime incidents in England,0
Business trade characteristics,UK services trade by business characteristics,UK services trade by business characteristics,0
UK import and export,Trends in UK imports and exports of fuels,Trends in UK imports and exports of fuels,0
UK living wage,"Employees below the UK living wage, Greater Manchester, 2014 to 2016","Employees below the UK living wage, Greater Manchester, 2014 to 2016",0
House market trends ,Recent trends in the housing market,Recent trends in the housing market,0
Marriages and civil unions ,Marriages in England and Wales,Marriages in England and Wales,0
Number of childreneducation,"Number of vacant and second homes, England and Wales","Estimating the number of people with cardiovascular or respiratory conditions living in poverty, England",change
Impact of covid-19 on tourism ,Business Impact of COVID-19 Survey (BICS),"Business Impact of Coronavirus (COVID-19) Survey, expectation responses over time, UK",change
Household expenditure,Definition of household expenditure,Definition of household expenditure,0
 suicide rates ,Suicide rates based on provisional 2015 death registrations,Suicide rates based on provisional 2015 death registrations,0
Family size over time ,Adult lifestage (alternative adult definition),Adult lifestage (alternative adult definition),0
Family size,How does your family size compare?,How does your family size compare?,0
Violence against women,Violence against women and girls: Data landscape,Violence against women and girls: Data landscape,0
Registered voters in,Deaths registered in England and Wales,European Union citizens registered to vote,change
Electoral statistics,"Electoral statistics, UK","Electoral statistics, UK",0
Housing prices,UK House Price Index,UK House Price Index,0
Rental prices,"Index of Private Housing Rental Prices, UK","Index of Private Housing Rental Prices, UK",0
Redundancies,HR1: Potential redundancies,HR1: Potential redundancies,0
Graduates,Graduates in the UK Labour Market,Graduates in the UK Labour Market,0
Infant mortality rate ,"Infant mortality rates for Newham local authority, 2006 to 2013","Infant mortality rates for Newham local authority, 2006 to 2013",0
Mortality rates,"Mortality rates (qx), principal projection, Scotland","Mortality rates (qx), principal projection, Scotland",0
Stillbirths ,Impact of the implementation of IRIS software for ICD-10 cause of death coding on stillbirth and neonatal death statistics,Impact of the implementation of IRIS software for ICD-10 cause of death coding on stillbirth and neonatal death statistics,0
Cost of living in,"Cost of living and higher education students, England","Cost of living and higher education students, England",0
Homophobic,Homophobic attacks 2017 to 2019,Homophobic attacks 2017 to 2019,0
buildings built ,House price (newly built dwellings) to residence-based earnings ratio,House price (newly built dwellings) to residence-based earnings ratio,0
Heart failure statistics ,"Ischaemic heart diseases deaths including comorbidities, England and Wales","Ischaemic heart diseases deaths including comorbidities, England and Wales",0
racism ,Management of racism at the ONS,Management of racism at the ONS,0
Povertythe north of ,"GDP, North West","GDP, North West",0
Miscarriages,Miscarriages from 1990 to 2017,Miscarriages from 1990 to 2017,0
Number of childrenfoster care,"Number of deaths in care homes notified to the Care Quality Commission, England","Unpaid care, England and Wales",change
Childrenfoster care ,"Unpaid care, England and Wales","Unpaid care, England and Wales",0
Number of children adopted ,Country of birth by number of children in family,"Divorces in England and Wales, children of divorced couples: historical data",change
Abortion statistics ,"Electoral statistics, UK","Cancer registration statistics, England",change
Abortions,"Number of deaths involving abortion, England and Wales, deaths registered between 2015 and 2019","Number of deaths involving abortion, England and Wales, deaths registered between 2015 and 2019",0
Overdoses ,"Drug-related deaths ""deep dive"" into coroners’ records","Drug-related deaths ""deep dive"" into coroners’ records",0
Drug-related deaths ,"Drug-related deaths and suicide in offenders in the community, England and Wales","Drug-related deaths and suicide in offenders in the community, England and Wales",0
Number of people with depression,Coronavirus and GP diagnosed depression in England,Coronavirus and GP diagnosed depression in England,0
Number of people with anxiety,"Estimating the number of people with cardiovascular or respiratory conditions living in poverty, England","Estimating the number of people with cardiovascular or respiratory conditions living in poverty, England",0
A level results ,"Overseas travel and tourism, monthly provisional results","Coronavirus (COVID-19) Infection Survey headline results, UK",change
GCSE results ,"Overseas travel and tourism, monthly provisional results",Deprivation inequalities in the experiences of GCSE students in England during coronavirus (COVID-19) ,change
Electoral boundaries,"Electoral statistics, UK","Electoral statistics, UK",0
Drug abuse,Deaths related to drug poisoning in England and Wales,Deaths related to drug poisoning in England and Wales,0
Divorces ,Divorces in England and Wales,Divorces in England and Wales,0
Houses bought,Public houses and bars by city region,Public houses and bars by city region,0
Average price of a house,UK House Price Index,UK House Price Index,0
Real estate statistics ,"Electoral statistics, UK",Financial statistics for public sector,change
Number of people living ,"Number of people living in households by age group and sex, England, 2001 to 2017","Number of people living in households by age group and sex, England, 2001 to 2017",0
Average salary ,House prices 24 times average salary in Westminster,House prices 24 times average salary in Westminster,0
Average wage,Average annual gross wages for graduates by occupation,Average annual gross wages for graduates by occupation,0
Average cost of living ,"Cost of living and higher education students, England",Impact of increased cost of living on adults across Great Britain,change
Average IQ in,Average weekly earnings in Great Britain,"Average household income, UK",change
GDP per capita,Gross domestic product per head: Table P,Blue Book 2016 UK GDP impacts 1997 to 2011,change
Disability benefit numbers,"Disability, England and Wales","Disability, England and Wales",0
Brain Cancer mortality rate,Incidence and Mortality Counts and Rates for selected cancers for the North West Region,Incidence and Mortality Counts and Rates for selected cancers for the North West Region,0
Lung Cancer mortality rate,"Number of deaths and age-standardised mortality rates where the underlying cause of death was lung cancer: Yorkshire and the Humber (excluding Leeds), Sheffield, Nottingham, and Newcastle-upon-Tyne, registered 2001 to 2020","Number of deaths and age-standardised mortality rates where the underlying cause of death was lung cancer: Yorkshire and the Humber (excluding Leeds), Sheffield, Nottingham, and Newcastle-upon-Tyne, registered 2001 to 2020",0
Breast Cancer mortality rate,Incidence of and mortality from breast cancer in England 2004 to 2017,Incidence of and mortality from breast cancer in England 2004 to 2017,0
Leukemia mortality rate,Winter mortality in England and Wales,Winter mortality in England and Wales,0
Cancer remission rate,Cancer survival in England,Cancer survival in England,0
Lyme disease,"Dementia and Alzheimer's disease deaths including comorbidities, England and Wales","Dementia and Alzheimer's disease deaths including comorbidities, England and Wales",0
chicken pox,"Deaths related to chicken pox, varicella, shingles and herpes zoster","Deaths related to chicken pox, varicella, shingles and herpes zoster",0
Work related accidents involving alcohol,Work place accidents involving alcohol,Work place accidents involving alcohol,0
Driving accidents involving alcohol,Driving offences and car accidents due to alcohol,Driving offences and car accidents due to alcohol,0
Alcohol consumption rate,Analysis based on new alcohol consumption guidelines,Analysis based on new alcohol consumption guidelines,0
Road traffic mortality rate,Traffic camera activity,Traffic camera activity,0
Violent accidents under the influence,"CSEW estimates of violent incidents where the victim believed the offender(s) to be under the influence of alcohol, selected years from the year ending March 2006 to the year ending March 2016","CSEW estimates of violent incidents where the victim believed the offender(s) to be under the influence of alcohol, selected years from the year ending March 2006 to the year ending March 2016",0
Driving under the influence,Government Deficit and Debt Under the Maastricht Treaty,Pregnancy and ethnic factors influencing births and infant mortality,change
Greenhouse gas emissions ,"Greenhouse gas emissions, UK","Greenhouse gas emissions, UK",0
Income inequality ,"Household income inequality, UK","Household income inequality, UK",0
Murder statistics ,"Electoral statistics, UK",Integrated Household Survey (Experimental statistics),change
Gang violence statistics,Nature of crime: violence,Nature of crime: violence,0
Armed robery statistics ,"UK armed forces veterans, England and Wales","UK armed forces veterans, England and Wales",0
Gunshot wounds statistics,"Electoral statistics, UK","Cancer registration statistics, England",change
Burglaries,Nature of crime: burglary,Nature of crime: burglary,0
Weapon offences ,Offences involving the use of weapons: data tables,Offences involving the use of weapons: data tables,0
Crime statistics by religion,NS-SeC by religion,"Religion, England and Wales",change
Crime statistics by ethnicity,Crime Severity Score (Experimental Statistics),Crime Severity Score (Experimental Statistics),0
Religious sects,Annex A: Sexual orientation and religious beliefs,"Rates of deaths involving COVID-19 by religious group, England and Wales",change
Transport statistics,"Electoral statistics, UK","Business demography, quarterly experimental statistics, UK",change
